epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,30,13,17,0,0,0,1,0,2,3,1,1,0,0,1,1,2,14,10,1,1,0,0,0,28,0,30,30,12,18
week 2,21,13,8,0,0,0,2,0,2,3,1,0,0,0,3,2,3,7,5,1,0,0,0,0,15,0,21,21,8,13
week 3,40,21,19,0,1,0,1,1,0,5,0,0,0,2,1,3,2,15,13,2,1,1,0,0,35,2,37,39,23,16
week 4,55,27,28,0,2,0,1,0,1,7,0,3,0,0,0,2,2,32,14,2,1,2,0,1,51,2,51,53,35,18
week 5,75,46,29,0,0,2,3,1,4,7,3,2,1,1,3,7,7,15,25,5,5,5,1,0,72,4,70,74,63,11
week 6,112,63,49,0,1,3,5,5,2,14,1,4,0,2,1,5,14,40,34,9,1,4,2,0,106,17,95,112,93,19
week 7,198,93,105,0,6,6,9,6,8,21,4,12,0,3,5,10,18,83,60,7,7,2,3,1,182,19,179,197,173,25
week 8,326,179,147,0,8,7,9,5,10,31,6,11,0,8,13,24,41,111,82,20,8,17,2,0,310,31,294,323,282,43
week 9,459,227,232,0,14,6,11,8,17,40,7,15,4,10,18,29,55,160,122,21,14,21,5,0,405,39,411,444,421,29
week 10,526,254,272,0,6,5,16,3,22,29,12,11,0,13,22,29,63,192,146,22,20,16,3,1,454,168,353,511,490,30
week 11,1021,483,538,1,11,3,29,7,17,52,15,11,11,32,33,51,110,374,287,48,23,38,14,1,870,277,740,1002,987,30
week 12,1236,605,631,1,8,6,19,7,20,70,13,12,11,37,61,93,127,487,291,42,38,33,16,5,1049,669,557,1211,1202,24
week 13,1072,504,568,0,14,11,31,15,23,77,10,18,5,21,40,83,95,437,277,42,30,25,17,4,906,784,284,1047,1053,15
week 14,1231,606,625,0,10,7,20,14,17,56,7,21,11,21,38,71,113,476,333,54,45,50,19,5,986,677,546,1204,1201,22
week 15,1272,638,634,0,8,5,21,6,11,51,10,17,12,22,43,90,116,465,355,59,48,49,13,2,736,632,634,1241,1245,21
week 16,1249,630,619,1,10,7,15,10,9,56,6,14,10,22,36,71,99,463,346,61,47,71,23,5,675,557,688,1175,1203,42
week 17,1055,528,527,0,6,3,11,13,16,48,5,12,9,15,28,58,90,441,267,53,36,45,13,4,487,541,509,992,1001,48
week 18,1327,659,668,0,5,0,8,4,6,27,2,6,8,14,29,48,137,532,411,61,50,30,7,7,694,1004,322,1272,1295,29
week 19,996,507,488,0,5,4,10,2,11,23,3,12,7,13,23,60,101,417,272,34,29,28,12,2,699,829,165,972,981,13
week 20,812,391,418,0,2,0,9,5,4,8,5,4,1,7,21,47,79,372,212,32,24,11,6,1,645,728,82,792,806,4
week 21,478,240,238,0,2,1,3,0,1,7,0,1,4,2,10,33,59,193,138,19,11,7,2,5,375,421,56,469,474,3
week 22,287,167,120,1,2,3,4,1,1,3,1,2,6,7,9,23,28,102,80,10,7,10,5,3,116,214,72,239,284,2
week 23,204,106,97,0,1,1,7,2,2,17,2,1,3,7,10,24,12,88,44,5,3,7,1,0,67,163,40,190,201,2
week 24,142,69,73,0,1,0,4,1,4,7,1,1,1,2,14,13,15,33,46,9,7,1,1,0,65,97,43,138,137,2
week 25,56,22,34,0,0,0,1,0,1,4,2,2,1,1,1,5,8,21,16,2,1,0,0,0,55,42,13,55,52,2
week 26,36,25,11,0,0,0,0,0,0,1,0,1,1,1,1,1,6,16,6,2,0,0,2,0,36,24,12,35,36,0
week 27,13,7,6,0,0,1,0,0,0,1,0,0,0,0,0,3,0,4,2,1,0,3,0,0,12,4,9,13,13,0
week 28,10,6,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,1,1,1,0,0,0,10,0,10,10,9,1
week 29,6,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,6,0,6,6,6,0
week 30,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,1,0,0,9,0,9,9,7,2
week 31,5,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,0,5,5,5,0
week 32,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0,4,4,4,0
week 33,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,3,3,3,0
week 34,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,3,3,3,0
week 35,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0
week 36,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,3,3,3,0
week 37,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,2,0
week 38,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,5,0,5,5,4,1
week 39,11,4,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,3,0,0,0,0,0,11,0,11,11,9,2
week 40,9,4,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,1,0,0,0,9,0,9,9,6,3
week 41,4,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,0,4,4,3,1
week 42,6,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,6,0,6,6,4,2
week 43,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,3,3,3,0
week 44,7,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,1,0,0,7,0,7,7,5,2
week 45,8,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,1,0,0,0,0,0,8,0,8,8,7,1
week 46,18,8,10,0,0,0,0,0,0,1,0,0,0,1,0,1,2,9,2,2,0,1,0,0,16,0,18,18,15,3
week 47,18,9,9,0,0,0,0,1,1,0,0,0,1,2,0,0,0,8,3,1,1,2,0,0,17,0,17,16,13,3
week 48,18,9,9,0,1,1,2,0,0,2,0,0,0,2,2,3,3,6,2,0,0,0,0,1,17,0,16,16,15,1
week 49,20,10,10,0,0,0,4,0,0,2,1,0,0,0,3,2,2,7,3,0,1,0,2,0,19,0,20,19,18,2
week 50,30,14,16,1,1,0,1,1,1,2,0,0,3,1,0,4,2,12,4,2,1,0,1,0,30,0,29,29,26,3
week 51,22,10,12,0,2,0,2,0,1,2,0,2,0,0,0,1,1,11,5,1,1,2,0,1,21,0,22,21,22,0
week 52,19,10,9,0,0,1,2,1,0,0,0,0,0,0,0,0,1,12,3,1,0,2,0,0,17,0,19,18,18,1
